,date,e4,e5,e6,e7
1,Jan-70,47,7,1,1
2,Feb-70,4,2,1,0
3,Mar-70,7,2,0,0
4,Apr-70,0,0,0,0
5,May-70,2,0,0,0
6,Jun-70,2,0,0,0
7,Jul-70,4,1,0,0
8,Aug-70,3,0,0,0
9,Sep-70,2,1,0,0
10,Oct-70,3,0,0,0
11,Nov-70,4,1,0,0
12,Dec-70,0,0,0,0
13,Jan-71,0,0,0,0
14,Feb-71,1,1,0,0
15,Mar-71,1,0,0,0
16,Apr-71,2,2,2,0
17,May-71,2,2,1,0
18,Jun-71,1,0,0,0
19,Jul-71,0,0,0,0
20,Aug-71,7,5,0,0
21,Sep-71,5,2,1,0
22,Oct-71,1,1,0,0
23,Nov-71,2,0,0,0
24,Dec-71,0,0,0,0
25,Jan-72,1,1,0,0
26,Feb-72,2,0,0,0
27,Mar-72,1,0,0,0
28,Apr-72,1,1,0,0
29,May-72,1,0,0,0
30,Jun-72,2,0,0,0
31,Jul-72,5,1,1,0
32,Aug-72,2,0,0,0
33,Sep-72,5,3,0,0
34,Oct-72,0,0,0,0
35,Nov-72,0,0,0,0
36,Dec-72,0,0,0,0
37,Jan-73,0,0,0,0
38,Feb-73,8,3,2,1
39,Mar-73,3,1,0,0
40,Apr-73,3,1,0,0
41,May-73,0,0,0,0
42,Jun-73,8,2,0,0
43,Jul-73,5,4,2,1
44,Aug-73,12,5,2,0
45,Sep-73,7,4,1,0
46,Oct-73,5,0,0,0
47,Nov-73,2,0,0,0
48,Dec-73,3,0,0,0
49,Jan-74,1,1,0,0
50,Feb-74,1,0,0,0
51,Mar-74,3,1,0,0
52,Apr-74,4,0,0,0
53,May-74,13,1,1,1
54,Jun-74,11,5,0,0
55,Jul-74,6,1,0,0
56,Aug-74,0,0,0,0
57,Sep-74,0,0,0,0
58,Oct-74,1,1,0,0
59,Nov-74,0,0,0,0
60,Dec-74,2,0,0,0
61,Jan-75,10,2,1,0
62,Feb-75,3,0,0,0
63,Mar-75,5,2,1,0
64,Apr-75,3,0,0,0
65,May-75,1,0,0,0
66,Jun-75,2,0,0,0
67,Jul-75,1,1,0,0
68,Aug-75,0,0,0,0
69,Sep-75,1,1,0,0
70,Oct-75,2,0,0,0
71,Nov-75,1,0,0,0
72,Dec-75,1,0,0,0
73,Jan-76,0,0,0,0
74,Feb-76,3,0,0,0
75,Mar-76,0,0,0,0
76,Apr-76,0,0,0,0
77,May-76,3,1,1,1
78,Jun-76,0,0,0,0
79,Jul-76,0,0,0,0
80,Aug-76,10,5,3,2
81,Sep-76,4,4,0,0
82,Oct-76,2,2,0,0
83,Nov-76,10,4,1,0
84,Dec-76,9,2,1,0
85,Jan-77,4,2,0,0
86,Feb-77,6,2,0,0
87,Mar-77,2,1,0,0
88,Apr-77,3,0,0,0
89,May-77,4,1,0,0
90,Jun-77,3,0,0,0
91,Jul-77,0,0,0,0
92,Aug-77,0,0,0,0
93,Sep-77,4,0,0,0
94,Oct-77,2,0,0,0
95,Nov-77,3,2,1,0
96,Dec-77,0,0,0,0
97,Jan-78,1,0,0,0
98,Feb-78,1,0,0,0
99,Mar-78,0,0,0,0
100,Apr-78,1,1,1,0
101,May-78,4,1,0,0
102,Jun-78,0,0,0,0
103,Jul-78,2,2,0,0
104,Aug-78,2,1,0,0
105,Sep-78,4,0,0,0
106,Oct-78,1,0,0,0
107,Nov-78,1,0,0,0
108,Dec-78,0,0,0,0
109,Jan-79,5,0,0,0
110,Feb-79,0,0,0,0
111,Mar-79,9,2,2,0
112,Apr-79,2,0,0,0
113,May-79,3,0,0,0
114,Jun-79,4,0,0,0
115,Jul-79,1,0,0,0
116,Aug-79,0,0,0,0
117,Sep-79,5,1,0,0
118,Oct-79,2,0,0,0
119,Nov-79,2,1,0,0
120,Dec-79,2,1,0,0
121,Jan-80,8,0,0,0
122,Feb-80,8,2,1,0
123,Mar-80,3,1,0,0
124,Apr-80,5,0,0,0
125,May-80,2,0,0,0
126,Jun-80,7,4,1,0
127,Jul-80,0,0,0,0
128,Aug-80,9,1,0,0
129,Sep-80,9,0,0,0
130,Oct-80,3,1,0,0
131,Nov-80,3,0,0,0
132,Dec-80,0,0,0,0
133,Jan-81,3,1,1,0
134,Feb-81,3,0,0,0
135,Mar-81,0,0,0,0
136,Apr-81,2,0,0,0
137,May-81,4,2,0,0
138,Jun-81,3,0,0,0
139,Jul-81,0,0,0,0
140,Aug-81,0,0,0,0
141,Sep-81,2,1,1,0
142,Oct-81,5,1,0,0
143,Nov-81,2,0,0,0
144,Dec-81,5,0,0,0
145,Jan-82,6,4,1,0
146,Feb-82,1,1,0,0
147,Mar-82,3,0,0,0
148,Apr-82,2,1,0,0
149,May-82,1,0,0,0
150,Jun-82,2,1,1,0
151,Jul-82,3,1,0,0
152,Aug-82,2,0,0,0
153,Sep-82,1,0,0,0
154,Oct-82,3,2,0,0
155,Nov-82,0,0,0,0
156,Dec-82,2,1,0,0
157,Jan-83,1,0,0,0
158,Feb-83,1,0,0,0
159,Mar-83,2,0,0,0
160,Apr-83,0,0,0,0
161,May-83,5,0,0,0
162,Jun-83,1,1,0,0
163,Jul-83,2,0,0,0
164,Aug-83,1,0,0,0
165,Sep-83,3,0,0,0
166,Oct-83,2,0,0,0
167,Nov-83,2,1,1,0
168,Dec-83,1,0,0,0
169,Jan-84,2,1,0,0
170,Feb-84,1,0,0,0
171,Mar-84,2,0,0,0
172,Apr-84,4,0,0,0
173,May-84,2,0,0,0
174,Jun-84,3,0,0,0
175,Jul-84,1,0,0,0
176,Aug-84,0,0,0,0
177,Sep-84,2,0,0,0
178,Oct-84,0,0,0,0
179,Nov-84,3,0,0,0
180,Dec-84,0,0,0,0
181,Jan-85,3,1,0,0
182,Feb-85,2,0,0,0
183,Mar-85,3,0,0,0
184,Apr-85,3,2,1,0
185,May-85,3,1,1,0
186,Jun-85,5,1,0,0
187,Jul-85,10,0,0,0
188,Aug-85,4,1,0,0
189,Sep-85,3,1,0,0
190,Oct-85,2,0,0,0
191,Nov-85,2,0,0,0
192,Dec-85,4,0,0,0
193,Jan-86,4,0,0,0
194,Feb-86,2,1,0,0
195,Mar-86,8,1,0,0
196,Apr-86,4,1,0,0
197,May-86,0,0,0,0
198,Jun-86,5,1,1,0
199,Jul-86,5,2,1,0
200,Aug-86,10,2,0,0
201,Sep-86,3,1,0,0
202,Oct-86,8,1,0,0
203,Nov-86,4,1,0,0
204,Dec-86,2,0,0,0
205,Jan-87,0,0,0,0
206,Feb-87,1,0,0,0
207,Mar-87,4,0,0,0
208,Apr-87,2,1,0,0
209,May-87,2,0,0,0
210,Jun-87,1,0,0,0
211,Jul-87,1,0,0,0
212,Aug-87,3,0,0,0
213,Sep-87,9,1,0,0
214,Oct-87,1,1,0,0
215,Nov-87,1,0,0,0
216,Dec-87,0,0,0,0
217,Jan-88,4,2,0,0
